brand,model,year,color,transmission_type,number_of_doors,source,kilometers,price
porsche,taycan,2021,white,automatic,4/5,company source,43000,39900.0
porsche,cayenne,2019,purple,automatic,4/5,company source,58000,28000.0
toyota,land cruiser,2022,white,manual,4/5,gcc,155274,24500.0
kia,k8,2024,white,automatic,4/5,gcc,5491,12500.0
toyota,rav 4,2017,white,automatic,4/5,gcc,165989,6200.0
mercedes,gle 450 amg,2020,blue,automatic,4/5,us,60000,20200.0
mazda,6,2022,blue,automatic,4/5,gcc,87000,6000.0
lincoln,continental,2020,gold,automatic,4/5,us,39000,7400.0
chevrolet,tahoe,2021,white,automatic,4/5,us,95000,17500.0
hyundai,santa fe,2020,white,automatic,4/5,us,77000,7500.0
range rover,range rover sport,2016,blue,manual,4/5,gcc,109000,13500.0
bmw,x5,2009,black,automatic,4/5,gcc,139400,2200.0
gmc,sierra,2022,silver,automatic,2/3,gcc,23000,18900.0
lexus,nx,2023,gold,automatic,4/5,us,52800,14200.0
toyota,corolla,2022,white,automatic,4/5,gcc,145000,6100.0
toyota,fortuner,2022,white,automatic,4/5,gcc,121000,11900.0
nissan,altima,2018,white,automatic,4/5,gcc,62000,4200.0
mg,e 350,2021,brown,automatic,4/5,us,82000,16900.0
lexus,lx 570,2021,green,automatic,4/5,gcc,115000,37900.0
land rover,defender,2021,green,automatic,4/5,gcc,55000,29900.0
foton,view c2,2022,white,manual,4/5,gcc,61000,5600.0
kia,sportage,2022,white,automatic,4/5,gcc,110000,6200.0
hyundai,elantra,2021,white,automatic,4/5,gcc,80000,5300.0
kia,sportage,2023,brown,automatic,4/5,gcc,3383,8500.0
infiniti,q50,2023,blue,automatic,4/5,gcc,39694,14000.0
suzuki,grand vitara,2020,white,automatic,4/5,gcc,190000,3300.0
gmc,sierra,2024,white,automatic,2/3,gcc,30000,21900.0
mercedes,s 450,2019,beige,automatic,4/5,us,55000,17700.0
hyundai,avanti,2021,white,automatic,4/5,us,171000,5100.0
toyota,camry,2018,blue,automatic,4/5,us,173000,6500.0
toyota,rav 4,2022,white,automatic,4/5,us,36000,8200.0
cadillac,escalade,2016,brown,automatic,4/5,gcc,172898,12500.0
hyundai,elantra,2022,white,automatic,4/5,us,49000,5200.0
gmc,sierra,2018,brown,automatic,4/5,canada,110000,7800.0
lexus,lxseries,2020,white,automatic,4/5,us,141892,30550.0
chevrolet,suburban,2017,gold,automatic,4/5,gcc,127000,9900.0
infiniti,other,2017,white,automatic,4/5,gcc,145000,7900.0
lexus,gxseries,2017,white,automatic,4/5,gcc,140000,11900.0
lexus,gxseries,2022,red,automatic,4/5,gcc,54000,22800.0
toyota,corolla,2018,white,automatic,4/5,gcc,261000,5200.0
land rover,defender,2021,white,automatic,4/5,gcc,83000,27800.0
toyota,land cruiser,2020,grey,automatic,4/5,gcc,147000,22900.0
toyota,highlander,2017,white,automatic,4/5,us,139000,7300.0
infiniti,qx80,2023,grey,automatic,4/5,us,29000,20500.0
toyota,corolla,2017,burgundy,automatic,4/5,us,45000,3300.0
volkswagen,passat,2018,black,automatic,4/5,us,75000,6000.0
bmw,x5,2014,white,automatic,4/5,gcc,165000,6900.0
land rover,range rover velar,2022,other,automatic,4/5,us,32000,19400.0
chevrolet,tahoe,2024,silver,automatic,4/5,gcc,11000,24500.0
jeep,wrangler,2019,red,automatic,4/5,us,51000,9300.0
nissan,patrol,2016,white,automatic,4/5,gcc,254000,7800.0
land rover,evoque,2020,white,automatic,4/5,company source,31667,16000.0
hyundai,tucson,2012,white,automatic,4/5,gcc,300000,1950.0
nissan,pathfinder,2016,black,automatic,4/5,gcc,190000,4999.0
dodge,charger,2021,blue,automatic,4/5,us,71000,6500.0
mercedes,c 300,2024,white,automatic,4/5,us,5000,18700.0
mg,mg rx5,2020,blue,automatic,4/5,gcc,113500,3900.0
gmc,sierra,2022,black,automatic,2/3,gcc,50000,18900.0
porsche,cayenne gts,2014,white,automatic,4/5,gcc,72000,9800.0
jetour,t2,2025,silver,automatic,4/5,gcc,24000,13200.0
mercedes,e 350,2024,brown,automatic,4/5,us,3800,30500.0
nissan,patrol safari,2021,beige,automatic,2/3,us,116000,14700.0
mercedes,e 350,2024,grey,automatic,4/5,us,13000,27900.0
bmw,x6,2015,white,automatic,4/5,gcc,91000,8000.0
mercedes,e300,2017,blue,automatic,4/5,us,178000,7900.0
ford,raptor,2017,red,automatic,4/5,gcc,225000,11600.0
toyota,corolla,2022,blue,automatic,4/5,us,54000,5800.0
mitsubishi,pajero,2011,black,automatic,2/3,us,300000,3600.0
toyota,corolla,2018,blue,automatic,4/5,us,52000,4000.0
toyota,avalon,2022,grey,automatic,4/5,us,42000,12000.0
toyota,camry,2022,red,automatic,4/5,us,65000,6700.0
toyota,land cruiser,2017,white,automatic,4/5,gcc,256000,16900.0
honda,accord,2020,blue,automatic,4/5,us,112000,5200.0
jeep,wrangler,2022,white,automatic,4/5,us,51000,11000.0
toyota,4runner,2017,red,automatic,4/5,us,177000,8900.0
gmc,yukon,2009,white,automatic,4/5,gcc,300000,2000.0
toyota,corolla,2024,white,automatic,4/5,us,39000,6400.0
ford,f150,2023,grey,automatic,4/5,us,64000,11500.0
ford,expedition,2012,white,automatic,4/5,gcc,232000,2400.0
toyota,4runner,2023,grey,automatic,4/5,us,39000,14000.0
toyota,rav 4,2017,burgundy,automatic,4/5,us,91000,6400.0
toyota,avalon,2019,red,automatic,4/5,us,56000,8400.0
nissan,altima,2023,black,automatic,4/5,us,20000,8200.0
mercedes,e300,2017,silver,automatic,4/5,us,66000,9300.0
nissan,altima,2020,red,automatic,4/5,us,130000,4900.0
toyota,highlander,2018,grey,automatic,4/5,us,172000,7900.0
gmc,sierra,2018,white,automatic,2/3,us,164000,7800.0
infiniti,qx80,2019,white,automatic,4/5,us,159000,9600.0
toyota,camry,2017,blue,automatic,4/5,us,276000,4400.0
