car_title,location,year,price,kilometers,transmission_type,number_of_doors,source,model,color,contact_number,brand
Porsche Taycan 4S 2021,"Al Ghubrah, Muscat•",2021,"OMR 39,900",43000,Automatic,'4/5,Company Source,Taycan,White,N/A,Porsche
Porsche - Cayenne 2019,"Al Ghubrah, Muscat•",2019,"OMR 28,000",58000,Automatic,'4/5,Company Source,Cayenne,Purple,N/A,Porsche
Toyota LC 3.5 TT GX-R 7 SUPREME = MY: 2022,"Ruwi, Muscat•",2022,"OMR 24,500",155274,Manual,'4/5,GCC,Land Cruiser,White,N/A,Toyota
Kia K8 2024 K8 3.5 GDI SPL - MY 2024,"Ruwi, Muscat•",2024,"OMR 12,500",5491,Automatic,'4/5,GCC,K8,White,N/A,Kia
TOYOTA RAV4 PREMIUM +TH1 - MY: 2017,"Ruwi, Muscat•",2017,"OMR 6,200",165989,Automatic,'4/5,GCC,Rav 4,White,N/A,Toyota
تويوتا لاند كروزر 2025,"Al Maabilah, Muscat•",2025,"OMR 26,800",-,Automatic,'4/5,GCC,Land Cruiser,White,N/A,Toyota
Mercedes-Benz S 400 2015 ( GCC),"Bosher, Muscat•",2015,"OMR 9,500",169000,Automatic,N/A,GCC,S 400,White,N/A,Mercedes
شيفروليه سلفرادو 2022,"Barka, Al Batinah•",2022,"OMR 13,700",1,Automatic,'4/5,US,Silverado,White,N/A,Chevrolet
Mercedes-Benz GLE 450 AMG 2020,"Al Maabilah, Muscat•",2020,"OMR 20,200",60000,Automatic,'4/5,US,GLE 450 AMG,Blue,N/A,Mercedes
Mazda 6 2022,"Al Hamriyah, Muscat•",2022,"OMR 6,000",87000,Automatic,'4/5,GCC,6,Blue,N/A,Mazda
لينكولن كونتيننتال 2020,"Al Khoud, Muscat•",2020,"OMR 7,400",39000,Automatic,'4/5,US,Continental,Gold,N/A,Lincoln
شيفروليه تاهو فئة LT 2021 مواصفات عاليه وجاهز للإستخدام,"Al Maabilah, Muscat•",2021,"OMR 17,500",95000,Automatic,'4/5,US,Tahoe,White,N/A,Chevrolet
هيونداي سنتافي 2020 مع ضمان 3 سنوات,"Al Maabilah, Muscat•",2020,"OMR 7,500",77000,Automatic,'4/5,US,Santa Fe,White,N/A,Hyundai
رنج روفر سبورت SVR 2016 قمة النظافة,"The Wave (Almouj), Muscat•",2016,"OMR 13,500",109000,Manual,'4/5,GCC,Range Rover Sport,Blue,N/A,Range Rover
لاند روفر رينج روڤر ڤيلار 2018 صبغ الوكالة بدون حوادث خليجي,"Azaiba, Muscat•",2018,"OMR 12,800",150,Automatic,N/A,GCC,Range Rover Velar,Black,N/A,Range Rover
"Legendary Subaru Legacy 2014 – 2.5L, AWD","Al Khoud, Muscat•",2014,"OMR 2,400",285,Automatic,'4/5,GCC,Legacy,Burgundy,N/A,Subaru
برادو بدون حوادث 6 سلندر ممشى بسيط pardo accident-free 6v less mileage,"Al Ghubrah, Muscat•",2016,"OMR 9,900",165,Automatic,'4/5,GCC,Prado,White,N/A,Toyota
BMW X5 2009,"Azaiba, Muscat•",2009,"OMR 2,200",139400,Automatic,'4/5,GCC,X5,Black,N/A,BMW
جمس سيرا غماره AT4 رقم 1 محرك 5.3 ضمان الوكالة 2022,"Al Khuwair, Muscat•",2022,"OMR 18,900",23000,Automatic,'2/3,GCC,Sierra,Silver,N/A,GMC
