ad_id,title,location,price,year,mileage,condition,fuel_type,transmission,make,model,version,color,doors,seats,interior,warranty,owners,body_type,payment_option,source,extra_features
130597916,CHERY ARRIZO 6 PRO 1.5T+CVT FLAGSHIP - MY:2024 - UNUSED,"Ruwi, Muscat",6000,2024,100,,3,2,134,Arrizo,CHERY ARRIZO 6 PRO 1.5T+CVT FLAGSHIP,Grey,4-5,5,Part Leather,No,1,Sedan,Cash,gcc,"['3', '1', '21', '17', '27', '20', '18', '19', '26', '6', '8', '10', 'Brand: Chery', 'Air Conditioning: Automatic air conditioning 2 zones', 'Number of seats: 5', 'Number of doors: 4/5', 'Number of Owners: 1', 'Source: GCC']"
130597996,SUZUKI GRAND VITARA 1.6 5DR : MY 2020,"Ruwi, Muscat",3300,2020,190000,,3,2,36,Grand Vitara,GRAND VITARA 1.6 5DR,White,4-5,5,,No,1,SUV,Cash,gcc,"['17', '19', '20', '3', '1', '8', 'Brand: Suzuki', 'Air Conditioning: Automatic air conditioning', 'Number of seats: 5', 'Number of doors: 4/5', 'Number of Owners: 1', 'Source: GCC']"
130617836,Jeep GRAND CHEROKEE LTD - MY: 2015,"Ruwi, Muscat",4100,2015,169957,,3,2,64,Grand Cherokee,GRAND CHEROKEE LTD,Red,4-5,5,Part Leather,No,1,SUV,Cash,gcc,"['17', '20', '19', '18', '3', '1', '28', '26', '6', '7', 'Brand: Jeep', 'Air Conditioning: Automatic air conditioning 2 zones', 'Number of seats: 5', 'Number of doors: 4/5', 'Number of Owners: 1', 'Source: GCC']"
129976145,Porsche - Cayenne 2019,"Al Ghubrah, Muscat",28000,2019,58000,,3,2,30,Cayenne,,Purple,4-5,5,Full Leather,No,1,SUV,Installments,company,"['Brand: Porsche', 'Power (hp): 340', 'Air Conditioning: Automatic air conditioning', 'Number of seats: 5', 'Number of doors: 4/5', 'Number of Owners: 1', 'Source: Company Source']"
129978253,Porsche Taycan 4S 2021,"Al Ghubrah, Muscat",39900,2021,43000,,2,2,30,Taycan,Porsche Taycan 4S,White,4-5,5,Full Leather,No,,Sedan,Installments,company,"['Brand: Porsche', 'Air Conditioning: Automatic air conditioning', 'Number of seats: 5', 'Number of doors: 4/5', 'Source: Company Source']"
130472674,تويوتا لاند كروزر بيك أب 2025,"Al Masn'a, Al Batinah",20800,2025,0,,1,1,65,Land Cruiser Pickup,LX,Beige,4-5,,Cloth,No,1,Pickup,Cash,gcc,"['Brand: Toyota', 'Power (hp): 201', 'Consumption (l/100 km): 3.4', 'Air Conditioning: Automatic air conditioning', 'Number of doors: 4/5', 'Number of Owners: 1', 'Source: GCC']"
130531373,Land Rover Range Rover Velar 2022,"Al Khoud, Muscat",19400,2022,32000,,3,2,77,Range Rover Velar,Full option,Other,4-5,6,Full Leather,No,1,SUV,Cash,us,"['34', '36', '17', '19', '20', '27', '11', '18', '25', '1', '3', '33', '35', '22', '4', '9', '15', '42', '43', '5', '32', '38', '26', '7', '21', '8', '13', '16', '37', '24', '10', '14', '40', '44', '45', '46', 'Brand: Land Rover', 'Power (hp): 250', 'Air Conditioning: Automatic air conditioning', 'Number of seats: 6', 'Number of doors: 4/5', 'Number of Owners: 1', 'Source: US']"
130580052,تويوتا راف فور LE  موديل 2022 مع ضمان 3 سنوات,"Al Seeb, Muscat",8200,2022,36000,,3,2,65,Rav 4,,White,4-5,5,Velour,Yes,,SUV,Cash,us,"['36', '17', '19', '11', '18', '25', '1', '3', '35', '22', '4', '9', '42', '26', '7', '21', '8', '24', '40', '44', 'Brand: Toyota', 'Air Conditioning: Automatic air conditioning', 'Number of seats: 5', 'Number of doors: 4/5', 'Source: US']"
130570159,مرسيدس S450 موديل 2019 مع ضمان 3 سنوات,"Al Khaboura, Al Batinah",16200,2019,67000,,3,2,33,SL-Class,,Black,4-5,5,Full Leather,Yes,,Sedan,Cash,us,"['36', '17', '19', '20', '11', '25', '1', '3', '33', '22', '4', '9', '42', '5', '26', '7', '21', '30', '8', '24', '40', '44', '45', '46', 'Brand: Mercedes-Benz', 'Air Conditioning: Automatic air conditioning', 'Number of seats: 5', 'Number of doors: 4/5', 'Source: US']"
130285029,مرسيدس c300  2023 ماشي 1400 كيلو,"Al Maabilah, Muscat",16600,2023,1400,,3,2,33,C 300,,White,,,,Yes,,Sedan,Installments,us,"['Brand: Mercedes-Benz', 'Source: US']"
